fips,aver
01003,4.3175774525
01005,4.385714286
01015,3.8519832989999996
01017,4.2090909089999995
01025,3.9909090910000002
01031,4.194736842
01033,3.796721311
01039,3.983333333
01047,3.707692308
01049,3.898591549
01053,3.916666667
01055,4.111666667
01069,4.016363636
01073,3.977138871
01077,3.7897506930000002
01081,3.8538782974999997
01083,3.755445545
01087,3.470454545
01089,3.745849802
01091,3.8
01093,3.544444444
01095,4.1222222219999995
01097,3.806760563
01099,4.628571429
01101,3.78185654
01103,3.835483871
01105,3.488235294
01109,3.777053824
01113,3.933333333
01117,4.077753623
01119,3.828070175
01121,3.08
01123,4.091666667
01125,3.839551478
01127,4.511538462
02020,3.816231087
02090,3.880851064
02110,3.89
02122,4.5984848485
02130,3.75
02170,3.6465116280000003
02220,4.45
02261,2.85
04003,4.120508657999999
04005,3.667878193
04009,4.034
04013,3.765376108714286
04015,3.665425101333333
04017,2.0
04019,3.724738462
04021,4.285416666666666
04025,3.78507587
04027,3.928571429
05005,3.9666666669999997
05007,3.807087887
05009,3.854545455
05019,3.7596059110000004
05023,4.29047619
05027,4.146774194
05029,3.906818182
05031,3.803343465
05035,4.277777778
05043,3.736764706
05045,3.8378021980000003
05047,4.2533333330000005
05051,4.0
05055,4.411111111
05057,3.35
05059,3.3384615380000002
05063,3.935714286
05065,4.275
05067,4.0875
05069,4.014893617
05071,4.035
05075,3.9363636360000003
05093,4.6526315789999995
05103,3.7833333330000003
05107,4.7625
05113,4.31875
05115,3.885753425
05119,3.87638938
05121,3.616666667
05123,3.835294118
05131,3.768300654
05133,3.5888888889999997
05139,4.985714286
05143,3.7720048160000004
05145,3.8551634915
06001,4.064609710666668
06007,3.7797276980000003
06013,4.114609534555556
06017,3.8666666664999996
06019,3.966005875
06023,3.865860786
06025,3.9762788540000003
06029,3.8474639419999996
06031,3.865
06035,4.420833333
06037,3.8566182970588243
06039,3.872881356
06041,3.872875817
06045,4.158208955
06047,3.702247883
06053,4.024960213
06055,3.8831932769999997
06057,4.180303029999999
06059,4.0153936441875
06061,4.0622613065
06063,3.9529411760000004
06065,4.092296113625
06067,3.7433018
06071,3.9004706693333335
06073,3.9794280354444447
06075,3.7395756660000004
06077,3.6135602095
06079,4.380752841
06081,3.8595494200000005
06083,4.3013715305
06085,3.8520985056
06087,3.8377916665000003
06089,3.897026022
06095,3.771393787
06097,3.772451948
06099,3.8507344039999998
06101,4.7
06107,3.931213788333333
06109,3.844736842
06111,3.805068675
06113,3.756917355666667
06115,3.877900552
08001,4.30763636375
08003,4.116923077
08005,3.5058833865
08013,3.730208333
08031,3.655899198
08041,3.7699578060000003
08045,3.970588235
08051,3.9348837210000003
08059,3.7060154755
08065,4.175
08067,3.83919598
08069,3.709351753
08071,4.5875
08075,4.233333333
08077,3.698461538
08081,4.5
08087,3.5
08089,3.333333333
08097,2.9625
08099,4.6
08101,3.901801802
08107,4.046153846
08117,4.3
08123,3.7670050760000002
09001,3.761187116
09003,3.7072451795
09005,4.023809524
09007,3.860598504
09009,3.7976074316666666
09011,3.841114495
10001,3.827639752
10003,3.7246622736666666
10005,3.872727273
11001,3.6831835269999997
12001,3.78997675
12005,3.7873076919999997
12009,3.8075529230000003
12011,4.106256231000001
12015,3.6771929819999998
12019,3.809565217
12021,3.895652174
12023,3.9020618560000004
