local_name,state_name,average_score,lat,lon
 Batavia, NY,3.852409639,41.8479,-88.3109
 Batavia, OH,3.721472393,41.8479,-88.3109
 Batesville, AR,3.935714286,34.3147,-89.9249
 Bath, SOMERSET,3.741666667,43.9346,-69.8346
 Bathurst, NB,3.3,47.6,-65.65
 Baton Rouge, LA,3.700843289,30.4423,-91.1314
 Battle Creek, MI,4.201980198,42.2985,-85.2296
 Bay City, MI,4.666666667,43.5903,-83.8886
 Bay Minette, AL,3.906024096,30.893,-87.7913
 Baytown, TX,3.83627907,29.7607,-94.9628
 Beatrice, NE,2,40.2738,-96.7455
 Beaufort, SC,3.686046512,32.4487,-80.7103
 Beaumont, TX,3.753216374,33.9059,-116.9763
 Beaver Falls, PA,3.781818182,40.762,-80.3225
 Beaverton, OR,4.66,45.4779,-122.8168
 Beckley, WV,4.023529412,37.7878,-81.1841
 Bedford, BEDFORDSHIRE,4,41.3919,-81.5359
 Bedford, MA,3.978378378,41.3919,-81.5359
 Beebe, AR,3.896610169,35.0714,-91.8999
 Beeville, TX,3.954545455,28.4059,-97.7494
 Bel Air, CA,3.55,39.5348,-76.346
 Bel Air, MD,3.799406528,39.5348,-76.346
 Belfast, ANTRIM,3.5,54.6,-5.96
 Belleville, IL,3.760456274,38.5165,-89.9899
 Belleville, MI,3.583185841,38.5165,-89.9899
 Belleville, NJ,4,38.5165,-89.9899
 Belleville, ON,3.665934066,38.5165,-89.9899
 Bellevue, NE,3.716494845,39.101,-84.4776
 Bellevue, WA,3.603154574,39.101,-84.4776
 Bellingham, WA,3.70488,48.7543,-122.4687
 Belmont, CA,3.909375,37.5154,-122.2955
 Belmont, NC,3.883529412,37.5154,-122.2955
 Beloit, WI,3.798802395,42.523,-89.0184
 Belton, TX,3.812244898,34.5238,-82.4937
 Bemidji, MN,3.574248927,47.483,-94.8788
 Bend, OR,3.951239669,44.0562,-121.3087
 Bensenville, IL,4,41.9595,-87.9434
 Benton Harbor, MI,3.761627907,42.1159,-86.4488
 Bentonville, AR,3.881388889,36.358,-94.2287
 Berea, KY,3.87607362,37.5904,-84.2898
 Berea, OH,3.767816092,37.5904,-84.2898
 Berkeley, CA,3.769536713,38.7441,-90.3362
 Berlin, NH,3.930769231,39.7915,-74.9375
 Berrien Springs, MI,3.81686747,41.9474,-86.3402
 Bethany, OK,3.813114754,35.5072,-97.6417
 Bethany, WV,3.854,35.5072,-97.6417
 Bethlehem, PA,3.711322314,40.6266,-75.3679
 Bettendorf, IA,3.837349398,41.5656,-90.4764
 Beverly, MA,3.779545455,42.5681,-70.8627
 Biddeford, ME,3.796172249,43.4674,-70.4512
 Big Rapids, MI,3.535983827,43.6992,-85.4803
 Big Spring, TX,3.854545455,32.2387,-101.4802
 Big Stone Gap, VA,4.075,36.8627,-82.7768
 Billings, MT,3.584210526,45.7889,-108.5503
 Binghamton, NY,3.762133183,42.1014,-75.9093
 Birmingham, AL,3.767611075,42.5447,-83.2166
 Birmingham, BIRMINGHAM,3.731578947,42.5447,-83.2166
 Birmingham, CHESHIRE,4.666666667,42.5447,-83.2166
 Birmingham, WARWICKSHIRE,4.2,42.5447,-83.2166
 Birmingham, WEST MIDLANDS,2.6625,42.5447,-83.2166
 Bismarck, ND,4.051428571,46.814,-100.7695
 Blacksburg, VA,3.712846348,37.23,-80.428
 Blairsville, GA,3.857142857,40.4325,-79.2599
 Blairsville, PA,4.325,40.4325,-79.2599
 Bloomfield, NJ,3.855395683,36.7398,-107.9733
 Bloomington, IL,3.68778626,44.8306,-93.3151
 Bloomington, IN,3.746485765,44.8306,-93.3151
 Bloomington, MN,3.766956522,44.8306,-93.3151
 Bloomsburg, PA,3.528284672,41.0027,-76.4561
 Bluefield, VA,3.660714286,37.2605,-81.2155
 Bluefield, WV,3.930841121,37.2605,-81.2155
 Bluffton, OH,3.665,32.2135,-80.9316
 Blythe, CA,4.18,33.6222,-114.6189
 Blytheville, AR,4.652631579,35.9323,-89.9052
 Boaz, AL,4.122222222,34.1985,-86.1529
 Boca Raton, FL,3.801052632,26.3749,-80.1077
 Boise, ID,3.722051282,43.6006,-116.2316
 Bolivar, MO,3.68028169,37.6057,-93.4175
 Boone, IA,3.642424242,42.053,-93.8771
 Boone, NC,3.750127065,42.053,-93.8771
 Booneville, MS,4.012244898,34.6643,-88.5684
 Borger, TX,3.083333333,35.6598,-101.4012
 Bossier City, LA,3.977310924,32.523,-93.6666
 Boston, MA,3.693975477,42.3188,-71.0846
 Bothell, WA,3.744135802,47.7736,-122.2044
 Boulder, CO,3.730208333,40.0249,-105.2523
 Bourbonnais, IL,3.801428571,41.1831,-87.8781
 Bowie, MD,3.651327434,38.9575,-76.7421
 Bowling Green, KY,3.742219215,36.9721,-86.4367
 Bowling Green, OH,3.65891287,36.9721,-86.4367
 Bozeman, MT,3.7328125,45.6828,-111.0548
 Bradenton, FL,3.767538126,27.49,-82.5743
 Bradford, PA,3.803947368,41.9604,-78.6413
 Bradford, WEST YORKSHIRE,4.6,41.9604,-78.6413
 Bradley, WV,4.116666667,41.1643,-87.8451
 Brainerd, MN,3.923636364,46.3553,-94.1982
 Brandon, FL,2.833333333,43.5928,-96.5799
 Brandon, MB,3.532701422,43.5928,-96.5799
