local,state,average_score,lat,lon,fips
 Austin, TX,3.800324359,43.6722,-92.9761,48453
 Avon Park, FL,3.821818182,27.5904,-81.5074,12055
 Avondale, AZ,3.878899083,33.3858,-112.3236,4013
 Azusa, CA,3.776714286,34.1386,-117.9124,6037
 Bainbridge, GA,4.351282051,30.9046,-84.5722,13087
 Baker City, OR,5,44.7749,-117.832,41001
 Bakersfield, CA,3.877873812,35.353,-119.036,6029
 Baltimore, MD,3.713603058,39.3051,-76.6144,24510
 Bangor, ME,3.686163522,44.8322,-68.7906,23019
 Baraboo, WI,3.759375,43.4696,-89.7378,55111
 Barbourville, KY,3.78,36.8667,-83.885,21121
 Barnesville, GA,3.967521368,33.0511,-84.1526,13171
 Barstow, CA,3.718333333,34.8655,-117.0464,6071
 Bartlesville, OK,4.033333333,36.7356,-95.9451,40147
 Batavia, NY,3.852409639,41.8479,-88.3109,36037
 Batavia, OH,3.721472393,41.8479,-88.3109,39025
 Batesville, AR,3.935714286,34.3147,-89.9249,5063
 Baton Rouge, LA,3.700843289,30.4423,-91.1314,22033
 Battle Creek, MI,4.201980198,42.2985,-85.2296,26025
 Bay City, MI,4.666666667,43.5903,-83.8886,26017
 Bay Minette, AL,3.906024096,30.893,-87.7913,1003
 Baytown, TX,3.83627907,29.7607,-94.9628,48201
 Beatrice, NE,2,40.2738,-96.7455,31067
 Beaufort, SC,3.686046512,32.4487,-80.7103,45013
 Beaumont, TX,3.753216374,33.9059,-116.9763,48245
 Beaver Falls, PA,3.781818182,40.762,-80.3225,42007
 Beaverton, OR,4.66,45.4779,-122.8168,41067
 Beckley, WV,4.023529412,37.7878,-81.1841,54081
 Beebe, AR,3.896610169,35.0714,-91.8999,5145
 Beeville, TX,3.954545455,28.4059,-97.7494,48025
 Bel Air, MD,3.799406528,39.5348,-76.346,24025
 Belleville, IL,3.760456274,38.5165,-89.9899,17163
 Belleville, MI,3.583185841,38.5165,-89.9899,26163
 Bellevue, NE,3.716494845,39.101,-84.4776,31153
 Bellevue, WA,3.603154574,39.101,-84.4776,53033
 Bellingham, WA,3.70488,48.7543,-122.4687,53073
 Belmont, CA,3.909375,37.5154,-122.2955,6081
 Belmont, NC,3.883529412,37.5154,-122.2955,37071
 Beloit, WI,3.798802395,42.523,-89.0184,55105
 Belton, TX,3.812244898,34.5238,-82.4937,48027
 Bemidji, MN,3.574248927,47.483,-94.8788,27007
 Bend, OR,3.951239669,44.0562,-121.3087,41017
 Bensenville, IL,4,41.9595,-87.9434,17043
 Benton Harbor, MI,3.761627907,42.1159,-86.4488,26021
 Bentonville, AR,3.881388889,36.358,-94.2287,5007
 Berea, KY,3.87607362,37.5904,-84.2898,21151
 Berea, OH,3.767816092,37.5904,-84.2898,39035
 Berkeley, CA,3.769536713,38.7441,-90.3362,6001
 Berlin, NH,3.930769231,39.7915,-74.9375,33007
 Berrien Springs, MI,3.81686747,41.9474,-86.3402,26021
 Bethany, OK,3.813114754,35.5072,-97.6417,40109
 Bethany, WV,3.854,35.5072,-97.6417,54009
 Bethlehem, PA,3.711322314,40.6266,-75.3679,42095
 Bettendorf, IA,3.837349398,41.5656,-90.4764,19163
 Beverly, MA,3.779545455,42.5681,-70.8627,25009
 Biddeford, ME,3.796172249,43.4674,-70.4512,23031
 Big Rapids, MI,3.535983827,43.6992,-85.4803,26107
 Big Spring, TX,3.854545455,32.2387,-101.4802,48227
 Big Stone Gap, VA,4.075,36.8627,-82.7768,51195
 Billings, MT,3.584210526,45.7889,-108.5503,30111
 Binghamton, NY,3.762133183,42.1014,-75.9093,36007
 Birmingham, AL,3.767611075,42.5447,-83.2166,1073
 Bismarck, ND,4.051428571,46.814,-100.7695,38015
 Blacksburg, VA,3.712846348,37.23,-80.428,51121
 Blairsville, GA,3.857142857,40.4325,-79.2599,13291
 Blairsville, PA,4.325,40.4325,-79.2599,42063
 Bloomington, IL,3.68778626,44.8306,-93.3151,17113
 Bloomington, IN,3.746485765,44.8306,-93.3151,18105
 Bloomington, MN,3.766956522,44.8306,-93.3151,27053
 Bloomsburg, PA,3.528284672,41.0027,-76.4561,42037
 Bluefield, VA,3.660714286,37.2605,-81.2155,51185
 Bluefield, WV,3.930841121,37.2605,-81.2155,54055
 Bluffton, OH,3.665,32.2135,-80.9316,39003
 Blythe, CA,4.18,33.6222,-114.6189,6065
 Blytheville, AR,4.652631579,35.9323,-89.9052,5093
 Boaz, AL,4.122222222,34.1985,-86.1529,1095
 Boca Raton, FL,3.801052632,26.3749,-80.1077,12099
 Boise, ID,3.722051282,43.6006,-116.2316,16001
 Bolivar, MO,3.68028169,37.6057,-93.4175,29167
 Boone, IA,3.642424242,42.053,-93.8771,19015
 Boone, NC,3.750127065,42.053,-93.8771,37189
 Booneville, MS,4.012244898,34.6643,-88.5684,28117
 Borger, TX,3.083333333,35.6598,-101.4012,48233
 Bossier City, LA,3.977310924,32.523,-93.6666,22015
 Boston, MA,3.693975477,42.3188,-71.0846,25025
 Bothell, WA,3.744135802,47.7736,-122.2044,53033
 Boulder, CO,3.730208333,40.0249,-105.2523,8013
 Bourbonnais, IL,3.801428571,41.1831,-87.8781,17091
 Bowie, MD,3.651327434,38.9575,-76.7421,24033
 Bowling Green, KY,3.742219215,36.9721,-86.4367,21227
 Bowling Green, OH,3.65891287,36.9721,-86.4367,39173
 Bozeman, MT,3.7328125,45.6828,-111.0548,30031
 Bradenton, FL,3.767538126,27.49,-82.5743,12081
 Bradford, PA,3.803947368,41.9604,-78.6413,42083
 Bradley, WV,4.116666667,41.1643,-87.8451,54081
 Brainerd, MN,3.923636364,46.3553,-94.1982,27035
 Brandon, FL,2.833333333,43.5928,-96.5799,12057
 Breckenridge, CO,4.3,39.4994,-106.0433,8117
 Bremerton, WA,3.791959799,47.5436,-122.7122,53035
 Brenham, TX,3.651376147,30.1585,-96.3962,48477
 Brentwood, CA,4.1,38.6195,-90.3475,6013
 Brentwood, NY,3.727578947,38.6195,-90.3475,36103
 Brevard, NC,3.861904762,35.2438,-82.7264,37175
 Brewton, AL,3.916666667,31.1111,-87.0737,1053
 Bridgeport, CT,3.953947368,41.1909,-73.1958,9001
 Bridgeview, IL,3.45,41.7402,-87.8067,17031
 Bridgewater, MA,3.670031546,38.3863,-78.9675,25023
 Bridgewater, VA,3.701408451,38.3863,-78.9675,51165
 Brighton, CO,5,42.5298,-83.7848,8001
 Bristol, PA,4.75,41.6812,-72.9407,42017
 Bristol, TN,3.958695652,41.6812,-72.9407,47163
 Brockport, NY,3.661582734,43.2136,-77.9404,36055
 Brockton, MA,3.868070175,42.0821,-71.0242,25023
 Broken Arrow, OK,3.589423077,36.0365,-95.7808,40143
 Bronx, NY,3.793833049,40.8501,-73.8662,36005
 Bronxville, NY,3.993877551,40.9394,-73.8263,36119
 Brookfield, WI,4.1875,41.8245,-87.847,55133
 Brookings, SD,3.667987805,44.3022,-96.7859,46011
 Brooklyn, NY,3.756929094,41.4349,-81.7498,36047
 Brooklyn Center, MN,3.736842105,45.0681,-93.3162,27053
 Brooklyn Park, MN,3.744047619,45.1112,-93.3505,27053
 Brookville, NY,3.790842491,39.8393,-84.4176,36059
 Brownsville, TX,4.043589744,35.5888,-89.258,48061
 Brownwood, TX,3.854166667,31.7124,-98.9766,48049
 Brunswick, GA,3.702912621,41.2464,-81.8198,13127
 Bryan, TX,3.549604222,41.4711,-84.5489,48041
 Buckhannon, WV,3.566666667,38.9927,-80.2279,54097
 Buena Vista, VA,3.802857143,37.7319,-79.3569,51530
 Buffalo, NY,3.720108532,45.1794,-93.8644,36029
 Bullhead City, AZ,4.394736842,35.1205,-114.546,4015
 Burbank, CA,3.756779661,41.7444,-87.7686,6037
 Burleson, TX,3.666666667,32.5173,-97.3346,48251
 Burlington, VT,3.669480519,40.8072,-91.1249,50007
 Burlington, WI,2.2,40.8072,-91.1249,55101
 Burr Ridge, IL,5,41.7485,-87.9198,17043
 Burton, OH,3.353333333,42.9974,-83.6175,39055
 Butler, PA,3.887288136,40.8615,-79.8962,42019
 Butte, MT,3.570769231,45.902,-112.6571,30093
 Cadillac, MI,3.794117647,44.2495,-85.4139,26165
 Calais, ME,4.833333333,50.9504,1.8333,23029
 Caldwell, ID,3.871666667,39.7467,-81.5127,16027
 Caldwell, NJ,3.903614458,39.7467,-81.5127,34013
 Calexico, CA,3.940540541,32.6849,-115.4944,6025
 California, PA,3.599208443,40.0692,-79.9152,42125
 Calumet City, IL,4.5,41.6133,-87.5502,17031
 Camarillo, CA,3.722535211,34.223,-119.0323,6111
 Cambridge, MA,3.827787934,45.5612,-93.2282,25017
 Cambridge, MN,3.335714286,45.5612,-93.2282,27059
 Camden, AR,3.783333333,34.2564,-80.6085,5103
 Camden, NJ,3.656761905,34.2564,-80.6085,34007
 Campbell, CA,3.975,41.0777,-80.5904,6085
 Campbellsville, KY,3.643243243,37.3446,-85.3512,21217
 Canandaigua, NY,3.938181818,42.8885,-77.2805,36069
 Canton, IL,3.860526316,32.5976,-90.0315,17057
 Canton, MO,4.033333333,32.5976,-90.0315,29111
 Canton, NY,3.662732919,32.5976,-90.0315,36089
 Canton, OH,3.803921569,32.5976,-90.0315,39151
 Canyon, TX,3.655072464,34.9877,-101.918,48381
 Cape Girardeau, MO,3.748,37.3108,-89.5596,29031
 Carbondale, IL,3.721131448,37.722,-89.2238,17077
 Carlinville, IL,3.607692308,39.2774,-89.8762,17117
 Carlisle, PA,3.684161491,39.5807,-84.3201,42041
 Carlsbad, NM,3.4,33.1246,-117.2837,35015
 Carpinteria, CA,4.525,34.3962,-119.5117,6083
 Carrollton, GA,3.724369748,38.68,-85.1655,13045
 Carson, CA,3.788825215,33.8374,-118.2559,6037
 Carson City, NV,3.657936508,39.1512,-119.7474,32510
 Carterville, IL,3.901492537,37.763,-89.084,17199
 Carthage, TX,4.135897436,37.1503,-94.3225,48365
 Cary, NC,4.3125,42.2128,-88.2491,37183
 Casa Grande, AZ,5,32.907,-111.7624,4021
 Casper, WY,3.628888889,42.8421,-106.3208,56025
 Cedar City, UT,3.806153846,37.6835,-113.0957,49021
 Cedar Falls, IA,3.611494253,42.5195,-92.4534,19013
 Cedar Hill, TX,3.861111111,32.5809,-96.9592,48113
 Cedar Park, TX,3.65,30.5105,-97.8198,48491
 Cedar Rapids, IA,3.796745562,41.9667,-91.6782,19113
 Celina, OH,3.642105263,40.5551,-84.5629,39107
 Centennial, CO,3.261538462,39.5926,-104.8674,8005
