local_name,state_name,average_score,lat,lon
 Bradenton, FL,4.66,27.49,-82.5743
 Bradford, PA,4.875,41.9604,-78.6413
 Brainerd, MN,4.8,46.3553,-94.1982
 Brandon, MB,4.5,43.5928,-96.5799
 Bremerton, WA,4.072727273,47.5436,-122.7122
 Brenham, TX,3.85,30.1585,-96.3962
 Brentwood, NY,4.063636364,38.6195,-90.3475
 Brevard, NC,3.8,35.2438,-82.7264
 Bridgeport, CT,4.1,41.1909,-73.1958
 Bridgewater, MA,3.682758621,38.3863,-78.9675
 Bridgewater, VA,4.9,38.3863,-78.9675
 Bristol, RI,3.6,41.6812,-72.9407
 Brockport, NY,3.658823529,43.2136,-77.9404
 Brockton, MA,3.8,42.0821,-71.0242
 Broken Arrow, OK,3.275,36.0365,-95.7808
 Bronx, NY,3.665909091,40.8501,-73.8662
 Brookings, SD,2.95,44.3022,-96.7859
 Brooklyn, NY,3.969444444,41.4349,-81.7498
 Brooklyn Park, MN,4.222222222,45.1112,-93.3505
 Brookville, NY,4.425,39.8393,-84.4176
 Brunswick, ME,2.5,41.2464,-81.8198
 Bryan, TX,3.514285714,41.4711,-84.5489
 Buffalo, NY,3.566666667,45.1794,-93.8644
 Burbank, CA,1.15,41.7444,-87.7686
 Burlington, ON,5,40.8072,-91.1249
 Burlington, VT,4.16,40.8072,-91.1249
 Butler, PA,4.425,40.8615,-79.8962
 Cadillac, MI,5,44.2495,-85.4139
 Caldwell, NJ,5,39.7467,-81.5127
 Calgary, AB,3.261290323,51.083,-114.08
 California, PA,4.3375,40.0692,-79.9152
 Camarillo, CA,2.966666667,34.223,-119.0323
 Cambridge, CAMBRIDGESHIRE,5,45.5612,-93.2282
 Cambridge, MA,2.842857143,45.5612,-93.2282
 Cambridge, MN,4.5,45.5612,-93.2282
 Camden, NJ,3.88,34.2564,-80.6085
 Canton, MA,3.5,32.5976,-90.0315
 Canton, MI,2.8,32.5976,-90.0315
 Canton, NY,2.966666667,32.5976,-90.0315
 Canton, OH,4.275,32.5976,-90.0315
 Canyon, TX,3.833333333,34.9877,-101.918
 Cape Girardeau, MO,3.618181818,37.3108,-89.5596
 Carbondale, IL,4.05,37.722,-89.2238
 Carlisle, PA,2.9,39.5807,-84.3201
 Carrollton, GA,3.464285714,38.68,-85.1655
 Carson, CA,3.744444444,33.8374,-118.2559
 Carson City, NV,2.9,39.1512,-119.7474
 Casper, WY,4.3,42.8421,-106.3208
 Cedar City, UT,2.933333333,37.6835,-113.0957
 Cedar Falls, IA,3.944444444,42.5195,-92.4534
 Cedar Rapids, IA,3.125,41.9667,-91.6782
 Centralia, WA,3,38.5223,-89.1233
 Chambersburg, PA,3.75,39.9315,-77.6556
 Champaign, IL,3.46,40.1144,-88.2735
 Chandler, AZ,3.177777778,33.2827,-111.8516
 Chapel Hill, NC,3.653846154,35.9269,-79.039
 Charles Town, WV,2.975,39.2746,-77.8632
