AK,4.598484849
AL,4.628571429
AR,4.985714286
AZ,4.285416667
CA,4.7
CO,4.6
CT,4.023809524
DC,3.6831835269999997
DE,3.872727273
FL,4.15
GA,5.0
HI,3.814223983
IA,4.375
ID,4.361025641
IL,5.0
IN,5.0
KS,4.444444444
KY,4.4
LA,5.0
MA,4.016079083
MD,4.131313131000001
ME,4.833333333
MI,4.8
MN,4.6
MO,4.5
MS,4.283333334
MT,3.981818182
NC,4.536363636
ND,4.1
NE,4.48
NH,4.875
NJ,4.311057693
NM,5.0
NV,3.90754717
NY,4.281066592
OH,4.441666667
OK,4.8
OR,5.0
PA,4.445454545
RI,3.87460733
SC,4.65
SD,4.75
TN,5.0
TX,4.9
UT,5.0
VA,5.0
VT,4.2675675680000005
WA,4.138636364
WI,4.8
WV,5.0
WY,4.583333333
