AK,2.85
AL,3.08
AR,3.3384615380000002
AZ,2.0
CA,3.61356021
CO,2.9625
CT,3.70724518
DC,3.6831835269999997
DE,3.724662274
FL,2.9875
GA,2.655555556
HI,3.814223983
IA,3.372222222
ID,3.52
IL,3.485897436
IN,3.4396551719999997
KS,3.071428571
KY,3.027777778
LA,3.0
MA,3.693975477
MD,3.655238095
ME,3.6861635219999997
MI,3.46
MN,3.15
MO,1.0
MS,1.0
MT,3.55
NC,3.386666667
ND,3.5228643219999998
NE,2.0
NH,2.961904762
NJ,3.656761905
NM,3.4
NV,3.657936508
NY,3.2696617339999996
OH,2.5
OK,3.5916666669999997
OR,3.528571429
PA,3.5
RI,3.6580775439999997
SC,3.475
SD,3.3621621619999997
TN,1.333333333
TX,3.083333333
UT,1.0
VA,3.3
VT,3.7538461539999997
WA,3.648495922
WI,3.0575
WV,3.210148867
WY,3.6288888889999997
